data;linha;origem;destino;total transportados;Geo LocalizaÁ„o Origem;Geo LocalizaÁ„o Destino
28/jul/20;510517;EXP TIRADENTES ; ALBERTO LION;1955;;-23.563332, -46.612174
28/jul/20;510513;EXP TIRADENTES ; ANA NERI;1417;;-23.560082, -46.615965
28/jul/20;170110;JOVA RURAL ; ANEHEMBI;3104;;-23.447565, -46.576226
28/jul/20;637G10;GRAJA? ; BUTANT√;4355;;-23.567437, -46.719022
28/jul/20;510512;EXP TIRADENTES ; C A YPIRANGA;1404;;-23.576451, -46.687420
28/jul/20;516441;VILA GUARANI ; CIRCULAR;1;-23.638889, -46.636922;-23.634878, -46.667013
28/jul/20;536241;PQ RES COCAIA ; DETRAN;752;;-23.744512, -46.670218
28/jul/20;400310;PRESTES MAIA; E. T. ITAQUERA;2092;;-23.534419, -46.453016
28/jul/20;510516;EXP TIRADENTES ; GENERAL LECOR;789;;-23.591435, -46.601231
28/jul/20;637G51;JD ELIANA ; GRAJA?;371;;-23.563568, -46.691606
28/jul/20;106A10;METRO SANTANA ; ITAIM BIBI;9030;;-23.583730, -46.678067
28/jul/20;905010;TERM LAPA ; ITAIM BIBI;1798;;-23.583730, -46.678067
28/jul/20;501810;SHOP. INTERLAGOS ; JABAQUARA;3623;;-23.636499, -46.645200
28/jul/20;645510;TERM CAPELINHA ; L S FRANCISCO;4174;;-23.549805, -46.636495
28/jul/20;563210;VILA S?O JOSê ; L S FRANCISCO;3173;;-23.549805, -46.636495
28/jul/20;563221;JD IPORANGA ; L S?O FRANCISCO;103;;-23.549805, -46.636495
28/jul/20;539121;TERM GUARAP ; LGO S FRANCISCO;342;;-23.549805, -46.636495
28/jul/20;563251;JD ALPINO ; LGO S?O FRANCISCO;133;;-23.549785, -46.636505
28/jul/20;675M10;CENTRO SESC ; M JABAQUARA;2;;-23.639550, -46.643572
28/jul/20;675R10;GRAJA? ; M JABAQUARA;2280;;-23.646765, -46.639595
28/jul/20;677V10;JD NV HORIZONTE ; M JABAQUARA;1083;;-23.646765, -46.639595
28/jul/20;695D10;JD STA B?RBARA ; M JABAQUARA;2470;;-23.646765, -46.639595
28/jul/20;675G10;PQ RES COCAIA ; M JABAQUARA;6197;;-23.646765, -46.639595
28/jul/20;675X10;GRAJA? ; M VL MARIANA;4622;;-23.589494, -46.634482
28/jul/20;510515;EXP TIRADENTES ; MERCADO;8795;;-23.547267, -46.628959
28/jul/20;675I10;TERM JOAO DIAS ; METRO S JUDAS;4887;;-23.625588, -46.640842
